Majority.protein.IDs	Gene.names	razorUniqueCount	razorUniqueCount_MIAPACA...AG205.1	razorUniqueCount_MIAPACA...AG205.2	razorUniqueCount_MIAPACA...AG205.3	razorUniqueCount_MIAPACA...AG205.4	razorUniqueCount_MIAPACA...AG205.5	razorUniqueCount_MIAPACA.1	razorUniqueCount_MIAPACA.2	razorUniqueCount_MIAPACA.3	razorUniqueCount_MIAPACA.4	razorUniqueCount_MIAPACA.5	razorUniqueCount_wt...AG205.1	razorUniqueCount_wt...AG205.2	razorUniqueCount_wt...AG205.3	razorUniqueCount_wt...AG205.4	razorUniqueCount_wt...AG205.5	razorUniqueCount_wt.1	razorUniqueCount_wt.2	razorUniqueCount_wt.3	razorUniqueCount_wt.4	razorUniqueCount_wt.5	RawIntensity_MIAPACA...AG205.1	RawIntensity_MIAPACA...AG205.2	RawIntensity_MIAPACA...AG205.3	RawIntensity_MIAPACA...AG205.4	RawIntensity_MIAPACA...AG205.5	RawIntensity_MIAPACA.1	RawIntensity_MIAPACA.2	RawIntensity_MIAPACA.3	RawIntensity_MIAPACA.4	RawIntensity_MIAPACA.5	RawIntensity_wt...AG205.1	RawIntensity_wt...AG205.2	RawIntensity_wt...AG205.3	RawIntensity_wt...AG205.4	RawIntensity_wt...AG205.5	RawIntensity_wt.1	RawIntensity_wt.2	RawIntensity_wt.3	RawIntensity_wt.4	RawIntensity_wt.5	iBAQ_MIAPACA...AG205.1	iBAQ_MIAPACA...AG205.2	iBAQ_MIAPACA...AG205.3	iBAQ_MIAPACA...AG205.4	iBAQ_MIAPACA...AG205.5	iBAQ_MIAPACA.1	iBAQ_MIAPACA.2	iBAQ_MIAPACA.3	iBAQ_MIAPACA.4	iBAQ_MIAPACA.5	iBAQ_wt...AG205.1	iBAQ_wt...AG205.2	iBAQ_wt...AG205.3	iBAQ_wt...AG205.4	iBAQ_wt...AG205.5	iBAQ_wt.1	iBAQ_wt.2	iBAQ_wt.3	iBAQ_wt.4	iBAQ_wt.5	LFQIntensity_MIAPACA...AG205.1	LFQIntensity_MIAPACA...AG205.2	LFQIntensity_MIAPACA...AG205.3	LFQIntensity_MIAPACA...AG205.4	LFQIntensity_MIAPACA...AG205.5	LFQIntensity_MIAPACA.1	LFQIntensity_MIAPACA.2	LFQIntensity_MIAPACA.3	LFQIntensity_MIAPACA.4	LFQIntensity_MIAPACA.5	LFQIntensity_wt...AG205.1	LFQIntensity_wt...AG205.2	LFQIntensity_wt...AG205.3	LFQIntensity_wt...AG205.4	LFQIntensity_wt...AG205.5	LFQIntensity_wt.1	LFQIntensity_wt.2	LFQIntensity_wt.3	LFQIntensity_wt.4	LFQIntensity_wt.5	spectraCount_MIAPACA...AG205.1	spectraCount_MIAPACA...AG205.2	spectraCount_MIAPACA...AG205.3	spectraCount_MIAPACA...AG205.4	spectraCount_MIAPACA...AG205.5	spectraCount_MIAPACA.1	spectraCount_MIAPACA.2	spectraCount_MIAPACA.3	spectraCount_MIAPACA.4	spectraCount_MIAPACA.5	spectraCount_wt...AG205.1	spectraCount_wt...AG205.2	spectraCount_wt...AG205.3	spectraCount_wt...AG205.4	spectraCount_wt...AG205.5	spectraCount_wt.1	spectraCount_wt.2	spectraCount_wt.3	spectraCount_wt.4	spectraCount_wt.5	spectraCount	Potential.contaminant
11	Q99613;B5ME19	EIF3C;EIF3CL	9	4	2	5	4	4	5	3	6	4	5	4	4	6	6	5	6	5	5	5	5	52186000	36753000	76338000	58936000	63924000	73156000	49548000	72230000	58642000	83451000	65583000	67460000	106360000	117750000	63326000	168560000	157020000	222560000	186150000	218650000	1242500	875060	1817600	1403200	1522000	1741800	1179700	1719800	1396200	1986900	1561500	1606200	2532300	2803500	1507800	4013200	3738500	5299000	4432000	5205900	21321000	20504000	31126000	24837000	23033000	27273000	27222000	27997000	24275000	24972000	35336000	28038000	32565000	36692000	42836000	58368000	46843000	56549000	52320000	70301000	1	0	2	0	0	1	1	1	0	0	2	2	1	1	4	6	5	5	2	5	39	
12	Q15811;CON__ENSEMBL:ENSBTAP00000001528	ITSN1	2	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	2	1	1	1	6581400	0	0	0	0	5645600	6068700	4788800	4717400	7425000	7403000	0	5939500	7028600	0	39963000	41691000	39668000	33927000	31506000	80261	0	0	0	0	68849	74009	58399	57529	90549	90281	0	72433	85714	0	487360	508430	483750	413740	384220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	6	+
13	CON__ENSEMBL:ENSBTAP00000032840		8	6	8	6	7	5	0	0	0	0	1	6	7	6	6	7	0	2	0	0	0	110640000	106500000	76486000	107620000	102090000	0	0	0	0	3691100	119620000	98915000	108670000	118890000	132400000	0	11514000	0	0	0	2212700	2130000	1529700	2152500	2041800	0	0	0	0	73823	2392500	1978300	2173400	2377800	2648100	0	230290	0	0	0	22741000	25172000	24789000	33346000	20166000	0	0	0	0	0	32895000	33314000	38727000	34106000	36487000	0	12742000	0	0	0	7	7	3	8	5	0	0	0	0	0	9	7	7	7	6	0	0	0	0	0	66	+
14	CON__P00735		1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3461900	0	0	0	0	0	0	0	0	0	8584700	0	0	0	0	0	0	0	0	0	108190	0	0	0	0	0	0	0	0	0	268270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	+
15	CON__P00761		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	8248200	1865100000	1.572e+09	395250000	50811000	1547400000	1292400000	1591300000	1963500000	1690500000	1536700000	667320000	1050500000	839800000	1465200000	0	0	0	0	0	749840	169550000	142910000	35931000	4619200	140680000	117490000	144660000	178500000	153690000	139700000	60665000	95499000	76345000	133200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	1	4	3	4	5	3	3	0	3	0	4	0	0	0	0	0	37	+
16	CON__P01966		1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	7569600	0	0	7926700	0	0	0	0	0	8985400	13235000	9246600	12222000	8913100	0	6629600	8585600	6565400	5443800	0	841070	0	0	880750	0	0	0	0	0	998380	1470500	1027400	1358000	990340	0	736620	953950	729480	604860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	3	+
17	CON__P02769		3	3	3	1	1	2	2	3	3	1	2	3	2	1	1	1	2	2	1	1	1	16767000	12962000	11110000	12044000	21110000	14523000	21480000	21390000	11358000	21099000	15771000	10678000	11644000	9567200	9858100	14429000	13344000	11781000	7856700	5202400	419170	324050	277750	301090	527740	363080	537010	534760	283940	527460	394270	266950	291110	239180	246450	360730	333590	294520	196420	130060	11951000	12352000	0	0	0	24989000	12695000	8766100	0	0	10746000	4573200	0	0	0	10864000	4353700	0	0	0	7	1	0	0	1	8	2	1	1	1	12	0	0	0	0	5	0	0	0	0	39	+
18	P04264;CON__P04264	KRT1	8	4	4	6	4	6	4	4	4	3	6	8	3	2	3	2	2	4	3	2	3	147590000	146080000	195120000	188350000	451980000	320430000	373790000	296570000	235870000	613680000	488460000	87553000	57775000	99306000	74691000	1547200000	1272800000	1351100000	768160000	529520000	4760900	4712300	6294200	6075800	14580000	10337000	12058000	9566800	7608800	19796000	15757000	2824300	1863700	3203400	2409400	49910000	41058000	43582000	24780000	17081000	120580000	321060000	441910000	181010000	321040000	136890000	443380000	202320000	168810000	731980000	600510000	81756000	93761000	113300000	107030000	357980000	224630000	530220000	328580000	137980000	2	5	5	2	6	3	5	4	3	8	13	1	2	2	2	5	6	8	5	3	90	+
19	CON__P05784		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	233240000	99489000	144290000	70410000	479680000	399910000	499350000	587960000	441150000	549370000	116510000	82121000	43242000	102430000	100790000	2351100000	4264700000	2138900000	2127700000	1.621e+09	8971000	3826500	5549700	2708100	18449000	15381000	19206000	22614000	16967000	21129000	4481200	3158500	1663200	3939500	3876400	90428000	164030000	82265000	81836000	62344000	198520000	0	156350000	138060000	264040000	281950000	412970000	320380000	237610000	327370000	0	0	0	126590000	133710000	1176200000	640550000	1507300000	513610000	488670000	0	0	0	0	0	0	4	0	0	3	0	0	0	0	1	12	14	15	5	10	64	+
20	P05787;CON__P05787	KRT8	29	18	14	14	15	18	22	19	22	23	22	17	14	10	11	15	21	23	19	17	24	1963800000	1693100000	1720800000	1889300000	3030600000	4877800000	5376800000	3869100000	4797600000	4725600000	894860000	1039600000	694780000	776580000	1.112e+09	1.5225e+10	1.6512e+10	1.5301e+10	1.3084e+10	1.6473e+10	67716000	58381000	59337000	65147000	104500000	168200000	185410000	133420000	165430000	162950000	30857000	35847000	23958000	26779000	38345000	5.25e+08	569380000	527620000	451180000	568040000	480480000	478300000	451650000	410650000	647450000	1375100000	1468400000	1133800000	1.077e+09	1173300000	278670000	289290000	199520000	230220000	398350000	2920500000	3364700000	3.39e+09	3145800000	2.854e+09	12	10	13	8	18	22	27	15	20	21	11	10	7	6	9	85	71	81	61	83	590	+
