Majority.protein.IDs	Gene.names	razorUniqueCount	razorUniqueCount_MIAPACA...AG205.1	razorUniqueCount_MIAPACA...AG205.2	razorUniqueCount_MIAPACA...AG205.3	razorUniqueCount_MIAPACA...AG205.4	razorUniqueCount_MIAPACA...AG205.5	razorUniqueCount_MIAPACA.1	razorUniqueCount_MIAPACA.2	razorUniqueCount_MIAPACA.3	razorUniqueCount_MIAPACA.4	razorUniqueCount_MIAPACA.5	razorUniqueCount_wt...AG205.1	razorUniqueCount_wt...AG205.2	razorUniqueCount_wt...AG205.3	razorUniqueCount_wt...AG205.4	razorUniqueCount_wt...AG205.5	razorUniqueCount_wt.1	razorUniqueCount_wt.2	razorUniqueCount_wt.3	razorUniqueCount_wt.4	razorUniqueCount_wt.5	RawIntensity_MIAPACA...AG205.1	RawIntensity_MIAPACA...AG205.2	RawIntensity_MIAPACA...AG205.3	RawIntensity_MIAPACA...AG205.4	RawIntensity_MIAPACA...AG205.5	RawIntensity_MIAPACA.1	RawIntensity_MIAPACA.2	RawIntensity_MIAPACA.3	RawIntensity_MIAPACA.4	RawIntensity_MIAPACA.5	RawIntensity_wt...AG205.1	RawIntensity_wt...AG205.2	RawIntensity_wt...AG205.3	RawIntensity_wt...AG205.4	RawIntensity_wt...AG205.5	RawIntensity_wt.1	RawIntensity_wt.2	RawIntensity_wt.3	RawIntensity_wt.4	RawIntensity_wt.5	iBAQ_MIAPACA...AG205.1	iBAQ_MIAPACA...AG205.2	iBAQ_MIAPACA...AG205.3	iBAQ_MIAPACA...AG205.4	iBAQ_MIAPACA...AG205.5	iBAQ_MIAPACA.1	iBAQ_MIAPACA.2	iBAQ_MIAPACA.3	iBAQ_MIAPACA.4	iBAQ_MIAPACA.5	iBAQ_wt...AG205.1	iBAQ_wt...AG205.2	iBAQ_wt...AG205.3	iBAQ_wt...AG205.4	iBAQ_wt...AG205.5	iBAQ_wt.1	iBAQ_wt.2	iBAQ_wt.3	iBAQ_wt.4	iBAQ_wt.5	LFQIntensity_MIAPACA...AG205.1	LFQIntensity_MIAPACA...AG205.2	LFQIntensity_MIAPACA...AG205.3	LFQIntensity_MIAPACA...AG205.4	LFQIntensity_MIAPACA...AG205.5	LFQIntensity_MIAPACA.1	LFQIntensity_MIAPACA.2	LFQIntensity_MIAPACA.3	LFQIntensity_MIAPACA.4	LFQIntensity_MIAPACA.5	LFQIntensity_wt...AG205.1	LFQIntensity_wt...AG205.2	LFQIntensity_wt...AG205.3	LFQIntensity_wt...AG205.4	LFQIntensity_wt...AG205.5	LFQIntensity_wt.1	LFQIntensity_wt.2	LFQIntensity_wt.3	LFQIntensity_wt.4	LFQIntensity_wt.5	spectraCount_MIAPACA...AG205.1	spectraCount_MIAPACA...AG205.2	spectraCount_MIAPACA...AG205.3	spectraCount_MIAPACA...AG205.4	spectraCount_MIAPACA...AG205.5	spectraCount_MIAPACA.1	spectraCount_MIAPACA.2	spectraCount_MIAPACA.3	spectraCount_MIAPACA.4	spectraCount_MIAPACA.5	spectraCount_wt...AG205.1	spectraCount_wt...AG205.2	spectraCount_wt...AG205.3	spectraCount_wt...AG205.4	spectraCount_wt...AG205.5	spectraCount_wt.1	spectraCount_wt.2	spectraCount_wt.3	spectraCount_wt.4	spectraCount_wt.5	spectraCount	Potential.contaminant
98	O43156	TTI1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1268700	0	2143200	0	1566200	719130	602030	0	512250	1394600	2333000	1757500	0	2702800	814190	2846600	2479700	3073200	1990200	0	25375	0	42863	0	31324	14383	12041	0	10245	27893	46659	35149	0	54056	16284	56932	49593	61464	39805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
99	O43169	CYB5B	3	3	3	2	3	3	2	1	2	1	3	2	2	1	3	2	2	1	1	2	2	107260000	83962000	53731000	95442000	123880000	58786000	6812900	79828000	15237000	82728000	71542000	34011000	6274800	84736000	34660000	55640000	44629000	40413000	35869000	40723000	17876000	13994000	8955100	15907000	20646000	9797600	1135500	13305000	2539400	13788000	11924000	5668400	1045800	14123000	5776700	9273300	7438200	6735500	5978200	6787200	43299000	44371000	43131000	46379000	69191000	38221000	0	45274000	0	29785000	41495000	29227000	0	38139000	0	29014000	0	0	28643000	26481000	3	1	0	1	2	2	0	1	1	0	1	1	0	0	0	1	1	1	0	0	16	
100	O43175	PHGDH	2	1	2	1	2	2	1	0	0	0	2	2	2	2	2	2	2	1	2	2	2	14928000	18541000	17164000	23813000	28860000	4691800	0	0	0	4730700	33207000	35434000	30186000	42094000	23138000	38358000	16681000	45510000	38898000	32281000	621980	772530	715190	992220	1202500	195490	0	0	0	197110	1383600	1476400	1257800	1753900	964060	1598300	695020	1896200	1620700	1345100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	2	1	0	1	0	0	0	0	0	9	
101	O43237	DYNC1LI2	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1969700	0	1264000	0	4492300	1122700	0	0	0	0	1982700	0	0	0	0	0	0	0	0	0	75756	0	48615	0	172780	43183	0	0	0	0	76257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
102	O43242	PSMD3	2	1	1	1	1	2	1	1	1	0	2	1	1	1	1	2	1	1	1	1	1	22679000	17078000	29376000	24167000	49234000	16992000	8016400	9989600	0	19832000	23777000	17650000	15262000	11181000	33382000	35472000	28699000	31736000	24262000	30669000	667020	502310	864000	710790	1448100	499770	235780	293810	0	583300	699340	519110	448890	328860	981810	1043300	844100	933410	713590	902040	10843000	10528000	13334000	12368000	11496000	10276000	0	8084300	0	0	11926000	10417000	0	0	0	13501000	10275000	10905000	10360000	11713000	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	1	0	0	7	
103	O43264	ZW10	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	3903400	5628700	0	0	0	0	0	0	0	4945200	0	5999200	0	8615200	0	0	5619200	4060600	0	0	95205	137290	0	0	0	0	0	0	0	120610	0	146320	0	210130	0	0	137050	99039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
104	O43324	EEF1E1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	0	0	0	2	20056000	17844000	15015000	17065000	25096000	14214000	14263000	18455000	11094000	15229000	23144000	21731000	22197000	23314000	16707000	5486400	0	0	0	7649800	1671400	1487000	1251200	1422100	2091300	1184500	1188600	1537900	924480	1269100	1928700	1810900	1849700	1942800	1392200	457200	0	0	0	637480	11027000	12290000	11749000	9958100	14845000	12062000	13826000	14271000	0	10023000	18081000	12981000	20162000	12510000	8388300	0	0	0	0	4776300	0	0	3	1	2	2	2	1	1	1	2	1	2	1	1	0	0	0	0	0	20	
105	O43390	HNRNPR	7	4	5	4	6	5	5	6	4	5	6	6	5	4	4	6	4	5	7	6	4	102670000	89437000	89531000	107560000	99832000	161830000	111230000	100620000	112840000	173190000	94427000	91852000	88107000	58619000	87719000	143220000	152640000	203810000	179200000	177290000	3019700	2630500	2633300	3163500	2936200	4759800	3271600	2959500	3318800	5093900	2777300	2701500	2591400	1724100	2580000	4212300	4489400	5994300	5270600	5214400	26157000	27073000	34079000	28556000	26564000	45825000	47384000	56739000	45619000	41932000	28235000	31339000	35679000	24903000	27226000	28584000	31626000	30963000	34782000	37690000	2	1	0	2	1	3	4	3	2	3	3	2	1	2	1	4	2	4	1	1	42	
106	O43447	PPIH	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2484300	0	0	0	2379600	0	0	0	3031300	0	0	0	0	0	0	0	0	0	0	0	225850	0	0	0	216330	0	0	0	275570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	
107	O43464	HTRA2	5	1	1	2	1	3	4	3	3	2	5	2	3	2	2	3	2	4	3	3	2	3707700	10180000	16501000	14447000	37730000	64243000	45606000	62867000	28123000	115220000	18636000	26936000	16082000	21108000	34384000	38923000	59121000	44098000	37018000	20574000	161200	442620	717440	628130	1640400	2793200	1982900	2733300	1222700	5009400	810250	1171100	699210	917720	1495000	1692300	2570500	1917300	1609500	894530	0	0	13001000	0	10899000	27470000	30887000	18482000	25319000	36386000	13822000	11770000	13552000	12781000	14849000	16201000	12620000	13369000	10453000	11069000	0	0	1	0	0	4	2	1	1	3	0	0	0	0	1	0	1	1	0	0	15	
108	O43592	XPOT	5	4	4	5	4	3	5	2	4	4	5	5	5	5	4	5	5	5	4	4	4	49231000	31337000	35961000	34321000	35021000	29470000	16011000	30397000	19813000	36999000	53761000	49238000	43795000	50828000	1.9e+07	68282000	69814000	53430000	62792000	54821000	1094000	696390	799140	762690	778240	654900	355800	675480	440290	822200	1194700	1094200	973230	1129500	422230	1517400	1551400	1187300	1395400	1218200	14937000	12580000	12364000	15082000	15112000	12438000	12207000	12631000	10214000	11509000	18878000	18754000	15504000	17829000	7802400	18394000	16532000	19284000	18451000	12821000	3	1	2	1	3	3	0	0	0	0	4	3	1	2	0	1	2	2	1	1	30	
109	O43660	PLRG1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	10579000	0	9630500	5069100	13974000	0	0	0	11339000	0	0	7322200	0	7867100	8012600	0	14807000	15489000	11297000	0	352630	0	321020	168970	465800	0	0	0	377950	0	0	244070	0	262240	267090	0	493570	516300	376560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	6	
110	O43663	PRC1	3	1	1	1	1	2	1	1	1	3	2	0	1	0	0	0	1	1	0	1	1	10451000	10260000	14098000	10014000	22667000	12540000	10475000	12599000	83956000	24059000	0	6635600	0	0	0	25848000	16707000	0	16325000	16959000	326600	320630	440560	312950	708350	391880	327350	393710	2623600	751840	0	207360	0	0	0	807740	522080	0	510150	529960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	
111	O43670	ZNF207	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	24887000	23784000	26481000	24196000	30660000	34466000	36365000	26987000	0	33404000	0	25125000	0	23278000	25667000	35180000	32483000	39162000	30569000	26148000	1777600	1698900	1891500	1728300	2190000	2461900	2597500	1927600	0	2386000	0	1794700	0	1662700	1833300	2512800	2320200	2797300	2183500	1867700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	8	
112	O43684	BUB3	8	4	7	6	6	6	7	8	7	8	8	6	3	5	7	4	5	7	6	4	6	52171000	144790000	166340000	185450000	212210000	231100000	185010000	193220000	209470000	266830000	102460000	84170000	144220000	127170000	79538000	129220000	194970000	177500000	142460000	168210000	3478000	9652500	11089000	12363000	14147000	15407000	12334000	12881000	13965000	17789000	6830500	5611300	9614900	8478200	5302500	8614800	12998000	11834000	9497200	11214000	19302000	45878000	41689000	48010000	40976000	53771000	56845000	53319000	69091000	56072000	28438000	43828000	46543000	28485000	30629000	26330000	33499000	33936000	37832000	34584000	3	4	4	3	5	6	8	3	5	6	2	2	3	3	1	3	8	5	2	3	79	
113	O43707	ACTN4	52	47	48	45	47	48	31	28	30	23	25	27	21	20	22	31	48	49	46	49	49	1.0814e+10	9127400000	9191300000	8897200000	1.1529e+10	802880000	769060000	572340000	593270000	728670000	759320000	494900000	508380000	598010000	777910000	2.9478e+10	3.1509e+10	2.9563e+10	2.5744e+10	2.9378e+10	196620000	165950000	167110000	161770000	209620000	14598000	13983000	10406000	10787000	13249000	13806000	8998200	9243300	10873000	14144000	535960000	572880000	537510000	468080000	534140000	1215400000	1201500000	1142400000	1.168e+09	1124200000	142230000	154830000	127200000	151660000	129360000	136440000	110860000	140990000	113240000	177380000	2586500000	2706600000	2611200000	2482100000	3007300000	68	66	57	65	75	18	10	6	6	10	12	9	3	7	14	138	135	124	101	123	1047	
114	O43747	AP1G1	2	1	1	1	1	2	2	2	2	1	2	1	1	2	0	2	0	2	2	1	0	35513000	38496000	45198000	64518000	56983000	72585000	75100000	83931000	79278000	86617000	41629000	42137000	60063000	0	62295000	0	51935000	54181000	34790000	0	1014700	1099900	1291400	1843400	1628100	2073900	2145700	2398000	2265100	2474800	1189400	1203900	1716100	0	1779900	0	1483900	1548000	994000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	
115	O43795	MYO1B	38	29	27	29	29	28	31	31	31	29	31	35	33	31	35	36	31	31	31	31	30	1687200000	1293100000	1251800000	1366400000	1852500000	1578400000	1218700000	1472200000	1130100000	1.712e+09	4865800000	4.207e+09	3.998e+09	4.696e+09	3752800000	3568900000	3484300000	3224500000	2821600000	2927500000	27212000	20857000	20191000	22039000	29878000	25458000	19656000	23744000	18227000	27612000	78481000	67855000	64484000	75742000	60529000	57564000	56199000	52008000	45509000	47218000	129550000	127840000	127370000	144430000	117850000	133860000	130530000	145160000	141980000	144660000	361430000	357030000	389480000	344870000	349470000	198720000	192350000	183970000	189030000	206070000	20	20	18	18	25	31	27	21	26	30	50	44	44	60	56	42	39	41	36	39	687	
116	O43809	NUDT21	15	14	12	13	14	14	15	14	14	13	14	11	12	13	11	13	14	14	13	13	14	1453800000	904800000	1.08e+09	1151200000	1675200000	1568100000	1783200000	1911300000	1601200000	2065400000	849390000	889180000	864430000	957700000	904880000	1487400000	1482400000	1488100000	1270700000	913550000	103840000	64628000	77143000	82228000	119660000	1.12e+08	127370000	136520000	114370000	147530000	60670000	63513000	61745000	68407000	64634000	106240000	105880000	106290000	90765000	65254000	271280000	239900000	288640000	233700000	278940000	416070000	456070000	479780000	469770000	480090000	204730000	211030000	261010000	207890000	224320000	214110000	204930000	223880000	217610000	173880000	20	21	19	17	22	19	22	23	28	25	14	14	16	15	21	20	20	21	15	16	388	
117	O43813	LANCL1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	16756000	14996000	15509000	13230000	17624000	15392000	0	13336000	0	12026000	6500700	6744900	0	6921700	0	21099000	21693000	18997000	14599000	16389000	985660	882100	912310	778260	1036700	905380	0	784490	0	707390	382400	396760	0	407160	0	1241100	1276100	1117500	858770	964030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	
118	O43818	RRP9	3	1	3	2	3	1	3	3	2	3	3	1	1	1	1	3	1	2	2	1	1	7190300	25193000	10852000	20379000	4483500	39413000	41927000	30907000	35201000	51687000	1422500	2695100	5129200	2569400	15688000	6080100	21765000	24018000	9109100	11603000	312620	1095300	471820	886060	194930	1713600	1822900	1343800	1530500	2247300	61846	117180	223010	111710	682090	264350	946320	1044300	396050	504490	6736600	10618000	6786600	7256000	0	13751000	21584000	18297000	20963000	20160000	0	0	6481200	0	6759300	0	9400300	7806300	7298500	13600000	0	2	0	1	0	2	5	1	5	5	0	0	0	0	1	2	2	0	0	2	28	
119	O43824	GTPBP6	3	2	3	1	2	2	3	2	2	2	1	2	3	1	2	2	2	3	2	3	0	32708000	44430000	15555000	26997000	48091000	30771000	21746000	19939000	28133000	8216600	34036000	58487000	20998000	52764000	34058000	71805000	92541000	36047000	80880000	0	1258000	1708800	598270	1038300	1849700	1183500	836400	766900	1082000	316020	1309100	2249500	807610	2029400	1309900	2761700	3559300	1386400	3110800	0	0	17953000	0	0	0	13640000	17076000	0	0	0	0	20858000	0	0	21245000	0	28404000	0	20828000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	6	
120	O43920	NDUFS5	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	5979700	9648400	0	8250900	8832200	6419800	3509800	0	4587600	6504300	5698200	6064500	0	5491200	4967200	9305800	0	0	0	0	996610	1608100	0	1375200	1472000	1070000	584970	0	764590	1084000	949700	1010800	0	915200	827870	1551000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
121	O60237	PPP1R12B	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35854000	29282000	29924000	34915000	42187000	32487000	0	30728000	26103000	34204000	27345000	28592000	21173000	16965000	28746000	60003000	58908000	53721000	48283000	40438000	676490	552490	564610	658780	795980	612950	0	579760	492520	645350	515930	539470	399490	320100	542380	1132100	1111500	1013600	911000	762990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	19	
122	O60264	SMARCA5	2	1	0	1	0	1	2	1	1	2	1	1	0	1	1	2	0	1	1	0	1	10381000	0	10339000	0	4100600	16442000	11480000	11221000	16259000	6038900	9098500	0	8182600	7441500	7205800	0	4739500	8927900	0	3153700	188740	0	187980	0	74557	298950	208730	204010	295620	109800	165430	0	148780	135300	131010	0	86173	162330	0	57340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5	
123	O60292	SIPA1L3	5	3	5	4	3	3	4	4	5	4	4	4	3	3	3	3	4	4	4	2	3	58221000	56424000	49209000	47457000	79675000	91166000	67623000	89945000	68577000	76596000	29944000	16245000	19724000	25502000	15848000	117880000	104020000	86139000	40044000	57870000	632830	613300	534880	515840	866030	990930	735030	977670	745400	832570	325470	176580	214390	277190	172260	1281300	1130600	936300	435260	629020	22340000	17013000	16620000	19989000	34688000	47978000	45653000	29032000	44918000	44485000	11302000	0	11122000	11945000	14124000	2.3e+07	20024000	16884000	0	18109000	1	1	1	1	2	4	3	1	2	2	1	0	1	2	3	0	1	1	0	1	28	
124	O60306	AQR	4	2	3	1	2	2	4	2	1	3	3	1	0	1	0	0	3	0	1	2	3	17288000	18786000	5370700	14976000	16068000	52671000	17585000	15186000	28490000	34134000	7941900	0	7345200	0	0	42255000	0	7092300	21760000	33918000	254240	276270	78981	220240	236300	774580	258600	223320	418970	501970	116790	0	108020	0	0	621390	0	104300	320010	498800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	
125	O60313	OPA1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1625500	0	0	0	0	4568500	0	0	0	2362300	5020400	0	0	3392700	3676500	0	0	0	0	0	30101	0	0	0	0	84603	0	0	0	43746	92970	0	0	62828	68083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
126	O60341	KDM1A	2	0	0	1	0	0	1	1	2	1	1	1	0	1	0	1	1	0	0	0	1	0	0	5384900	0	0	8684800	6777400	19542000	5901500	9885300	6532900	0	6225900	0	3182400	8525900	0	0	0	5437800	0	0	145540	0	0	234720	183170	528170	159500	267170	176560	0	168270	0	86010	230430	0	0	0	146970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	
127	O60493	SNX3	3	2	3	3	3	3	2	2	0	1	0	3	3	3	3	3	1	1	0	1	0	27495000	59512000	62184000	45255000	62979000	7375200	9310900	0	3750400	0	65627000	65056000	48004000	57530000	54489000	4805100	6471400	0	3502500	0	2749500	5951200	6218400	4525500	6297900	737520	931090	0	375040	0	6562700	6505600	4800400	5753000	5448900	480510	647140	0	350250	0	0	20016000	20460000	17072000	16304000	8538900	10506000	0	0	0	31167000	25734000	19193000	18086000	22550000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	1	1	0	0	0	0	0	8	
128	O60506	SYNCRIP	15	14	12	12	12	13	12	13	12	12	13	14	13	13	14	13	14	12	12	14	11	777980000	450130000	490240000	500840000	567310000	864750000	730920000	689130000	757950000	877390000	610770000	587220000	548540000	579740000	537390000	1114800000	882800000	1008700000	1016300000	737730000	24312000	14066000	15320000	15651000	17728000	27023000	22841000	21535000	23686000	27419000	19087000	18351000	17142000	18117000	16793000	34837000	27587000	31522000	31760000	23054000	114600000	105900000	109590000	116680000	91267000	152450000	153540000	138730000	172190000	143730000	112040000	115890000	128450000	103080000	127930000	121400000	107500000	117620000	120360000	121180000	6	4	5	3	6	8	6	5	3	10	12	9	1	4	8	10	7	10	5	4	126	
129	O60508	CDC40	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	6206000	9553400	0	8976800	0	0	10207000	8721000	10700000	6926000	0	7930600	0	6421600	0	9476600	0	0	10368000	0	177320	272950	0	256480	0	0	291630	249170	305720	197880	0	226590	0	183470	0	270760	0	0	296220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	
130	O60518	RANBP6	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	2012700	1566800	1680000	3051400	1173100	1269000	0	897710	1488200	1502300	1364700	2167600	3635900	954970	3772500	4195900	5212100	3905200	2595500	0	36595	28487	30545	55481	21328	23072	0	16322	27059	27315	24813	39411	66107	17363	68591	76289	94766	71003	47192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	4	
131	O60524	NEMF	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	3343600	2307400	3958800	1728000	4565700	0	2957000	0	0	4401300	2981900	3702800	2440600	0	0	0	0	2543700	2535200	0	66872	46148	79176	34560	91315	0	59140	0	0	88026	59638	74057	48813	0	0	0	0	50873	50704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	
132	O60551	NMT2	2	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	2	2	24017000	17928000	20290000	14416000	27945000	17277000	18150000	12965000	13227000	16777000	26323000	14301000	25533000	13012000	11517000	41576000	10903000	23627000	31274000	25700000	1000700	746980	845430	600650	1164400	719890	756230	540190	551120	699020	1096800	595860	1063900	542150	479870	1732400	454280	984480	1303100	1070800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	
133	O60568	PLOD3	3	3	2	3	3	2	2	2	2	1	1	3	2	2	1	2	1	2	1	1	1	32865000	19357000	33253000	28235000	14817000	42076000	22726000	28915000	4231300	4285300	21508000	9732600	14125000	5927900	9035000	4617100	15772000	4035300	3349900	8549200	764290	450160	773320	656620	344590	978520	528520	672450	98403	99658	500180	226340	328480	137860	210120	107370	366780	93843	77905	198820	19591000	23006000	18734000	18021000	0	19654000	18043000	17521000	0	0	16018000	0	0	0	0	0	12152000	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	
134	O60573	EIF4E2	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	3524800	7153000	0	9491900	7970300	0	5309300	8401900	0	6049100	9282200	8288800	13825000	0	10261000	0	0	0	0	0	271140	550230	0	730140	613100	0	408410	646300	0	465320	714020	637600	1063500	0	789340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	
135	O60610	DIAPH1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	6446700	5981900	6340400	7670300	3657200	0	4289500	4583900	6677100	4734500	4069500	4204900	0	0	7467300	9021700	5994800	7296900	6781100	0	107450	99699	105670	127840	60953	0	71491	76398	111280	78908	67825	70082	0	0	124460	150360	99913	121620	113020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
136	O60658	PDE8A	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	23494000	6223000	12998000	15634000	10547000	19568000	25998000	19777000	0	5471300	2725000	6586400	0	7575700	5543500	4736600	6221500	4543000	0	0	546370	144720	302280	363590	245280	455070	604600	459940	0	127240	63371	153170	0	176180	128920	110150	144690	105650	0	0	12483000	0	0	0	0	11877000	19338000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	4	
137	O60664	PLIN3	4	1	2	3	1	2	1	3	1	1	3	1	2	1	1	2	2	1	3	2	1	15814000	33963000	59329000	38850000	30122000	22687000	50032000	39167000	19660000	43113000	20930000	35130000	35803000	32166000	21742000	24651000	6265200	35565000	37153000	19882000	608250	1306300	2281900	1494200	1158500	872570	1924300	1506400	756150	1658200	805020	1351100	1377000	1237200	836210	948100	240970	1367900	1428900	764710	0	0	30913000	0	22187000	0	28625000	0	0	30464000	0	24448000	0	0	0	17725000	0	18155000	22194000	0	1	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	
138	O60684	KPNA6	3	3	3	3	3	3	2	2	3	3	2	2	3	2	3	3	3	3	3	3	3	26282000	20659000	20072000	20367000	31431000	11194000	7628500	20538000	15592000	15063000	13278000	20564000	9431600	24712000	9457300	40070000	37766000	37135000	33483000	25584000	1142700	898200	872710	885500	1366600	486690	331680	892940	677910	654910	577310	894090	410070	1074400	411190	1742200	1642000	1614600	1455800	1112400	9603200	9811600	8446700	9258100	9333500	6698200	5491400	9289200	8743800	8378400	7149200	8326700	6202500	9697800	4383100	10418000	7306500	9064000	8052300	8378500	5	4	4	4	4	3	2	3	3	4	3	5	3	4	4	5	5	4	5	3	77	
139	O60749	SNX2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11375000	2277700	0	0	0	0	5369600	0	0	0	0	0	0	0	0	0	0	0	0	0	421310	84358	0	0	0	0	198870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	
